symbol	NMF rank	MMF localization	SAFE domain	SAFE localization	Entrez	BioGRID	HGNC	RefSeq	UniProt
LRRC1	1	cell junction	20	cell junction, plasma membrane	55227	120522	HGNC:14307	NM_025168	Q9BTT6
LRRC41	13	mitochondrial outer membrane, peroxisome	-	-	10489	115752	HGNC:16917	NM_006369	Q15345
LRRC49	19	miscellaneous	1	no prediction	54839	120190	HGNC:25965	NM_017691	Q8IUZ0
LRRC4B	11	plasma membrane	20	cell junction, plasma membrane	94030	125098	HGNC:25042	NM_001080457	Q9NT99
LRRC57	11	plasma membrane	20	cell junction, plasma membrane	255252	129089	HGNC:26719	NM_153260	Q8N9N7
LRRC59	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	55379	120649	HGNC:28817	NM_018509	Q96AG4
LRRC8A	11	plasma membrane	-	-	56262	121126	HGNC:19027	NM_019594	Q8IWT6
LRRC8D	3	ER membrane	19	nuclear outer membrane-ER membrane network	55144	120447	HGNC:16992	NM_018103	Q7L1W4
LRRCC1	12	centrosome	10	centrosome	85444	124531	HGNC:29373	NM_033402	Q9C099
LRRFIP1	5	actin cytoskeleton, cytosol	1	no prediction	9208	114642	HGNC:6702	NM_004735	Q32MZ4
LRRFIP2	5	actin cytoskeleton, cytosol	1	no prediction	9209	114643	HGNC:6703	NM_006309	Q9Y608
LRWD1	2	chromatin	22	chromatin, nucleoplasm	222229	128790	HGNC:21769	NM_152892	Q9UFC0
LSG1	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	55341	120622	HGNC:25652	NM_018385	Q9H089
LSM11	9	nucleoplasm	1	no prediction	134353	126394	HGNC:30860	NM_173491	P83369
LSM12	16	cytoplasmic ribonucleoprotein granule	1	no prediction	124801	125889	HGNC:26407	NM_152344	Q3MHD2
LSM14A	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	26065	117527	HGNC:24489	NM_015578	Q8ND56
LSM14B	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	149986	127252	HGNC:15887	NM_144703	Q9BX40
LSR	1	cell junction	20	cell junction, plasma membrane	51599	119629	HGNC:29572	NM_015925	Q86X29
LTN1	19	miscellaneous	1	no prediction	26046	117509	HGNC:13082	NM_015565	O94822
LTV1	16	cytoplasmic ribonucleoprotein granule	1	no prediction	84946	124379	HGNC:21173	NM_032860	Q96GA3
LUC7L2	6	ER lumen	-	-	51631	119646	HGNC:21608	NM_016019	Q9Y383
LUC7L3	10	nuclear body	23	spliceosomal complex II	51747	119710	HGNC:24309	NM_016424	O95232
LUZP1	17	microtubule cytoskeleton	15	microtubule cytoskeleton	7798	113574	HGNC:14985	NM_033631	Q86V48
LYAR	8	nucleolus	3	splicing speckles, nucleolus	55646	120780	HGNC:26021	NM_017816	Q9NX58
LYN	11	plasma membrane	20	cell junction, plasma membrane	4067	110245	HGNC:6735	NM_002350	P07948
LYPLAL1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	127018	126031	HGNC:20440	NM_138794	Q5VWZ2
LYRM2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	57226	121461	HGNC:25229	NM_020466	Q9NU23
LYRM4	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	57128	121391	HGNC:21365	NM_020408	Q9HD34
LYRM7	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	90624	124742	HGNC:28072	NM_181705	Q5U5X0
LYSMD3	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	116068	125469	HGNC:26969	NM_198273	Q7Z3D4
LZTR1	11	plasma membrane	20	cell junction, plasma membrane	8216	113852	HGNC:6742	NM_006767	Q8N653
LZTS1	1	cell junction	20	cell junction, plasma membrane	11178	116348	HGNC:13861	NM_021020	Q9Y250
LZTS2	1	cell junction	20	cell junction, plasma membrane	84445	124083	HGNC:29381	NM_032429	Q9BRK4
LZTS3	12	centrosome	20	cell junction, plasma membrane	9762	115109	HGNC:30139	NM_014731	O60299
MACF1	17	microtubule cytoskeleton	15	microtubule cytoskeleton	23499	117048	HGNC:13664	NM_033044	Q9UPN3
MACO1	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	55219	120515	HGNC:25572	NM_018202	Q8N5G2
MAD2L2	19	miscellaneous	1	no prediction	10459	115722	HGNC:6764	NM_006341	Q9UI95
MADD	20	early endosome, recycling endosome	1	no prediction	8567	114136	HGNC:6766	NM_001135943	Q8WXG6
MAGED1	12	centrosome	1	no prediction	9500	114879	HGNC:6813	NM_001005332	Q9Y5V3
MAGED2	5	actin cytoskeleton, cytosol	1	no prediction	10916	116121	HGNC:16353	NM_014599	Q9UNF1
MAGI1	1	cell junction	1	no prediction	9223	114655	HGNC:946	NM_004742	Q96QZ7
MAGI3	1	cell junction	20	cell junction, plasma membrane	260425	129277	HGNC:29647	NM_152900	Q5TCQ9
MAGT1	6	ER lumen	4	ER lumen	84061	123856	HGNC:28880	NM_032121	Q9H0U3
MAIP1	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	79568	122716	HGNC:26198	NM_024520	Q8WWC4
MAK16	8	nucleolus	3	splicing speckles, nucleolus	84549	124134	HGNC:13703	NM_032509	Q9BXY0
MALT1	19	miscellaneous	-	-	10892	116098	HGNC:6819	NM_006785	Q9UDY8
MANF	6	ER lumen	4	ER lumen	7873	113621	HGNC:15461	NM_006010	P55145
MAOA	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	4128	110301	HGNC:6833	NM_000240	P21397
MAP1A	17	microtubule cytoskeleton	15	microtubule cytoskeleton	4130	110303	HGNC:6835	NM_002373	P78559
MAP1S	17	microtubule cytoskeleton	15	microtubule cytoskeleton	55201	120498	HGNC:15715	NM_018174	Q66K74
MAP2	17	microtubule cytoskeleton	15	microtubule cytoskeleton	4133	110305	HGNC:6839	NM_001039538	P11137
MAP2K1	11	plasma membrane	-	-	5604	111590	HGNC:6840	NM_002755	Q02750
MAP2K5	5	actin cytoskeleton, cytosol	1	no prediction	5607	111593	HGNC:6845	NM_145162	Q13163
MAP3K20	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	51776	119725	HGNC:17797	NM_016653	Q9NYL2
MAP3K21	11	plasma membrane	20	cell junction, plasma membrane	84451	124089	HGNC:29798	NM_032435	Q5TCX8
MAP3K9	11	plasma membrane	-	-	4293	110439	HGNC:6861	NM_001284230	P80192
MAP4	17	microtubule cytoskeleton	15	microtubule cytoskeleton	4134	110306	HGNC:6862	NM_002375	P27816
MAP4K3	1	cell junction	1	no prediction	8491	114063	HGNC:6865	NM_003618	Q8IVH8
MAP4K4	1	cell junction	20	cell junction, plasma membrane	9448	114838	HGNC:6866	NM_004834	O95819
MAP4K5	1	cell junction	20	cell junction, plasma membrane	11183	116353	HGNC:6867	NM_006575	Q9Y4K4
MAP7	17	microtubule cytoskeleton	15	microtubule cytoskeleton	9053	114515	HGNC:6869	NM_003980	Q14244
MAP7D1	17	microtubule cytoskeleton	15	microtubule cytoskeleton	55700	120825	HGNC:25514	NM_018067	Q3KQU3
MAP7D2	17	microtubule cytoskeleton	15	microtubule cytoskeleton	256714	129178	HGNC:25899	NM_152780	Q96T17
MAP7D3	17	microtubule cytoskeleton	15	microtubule cytoskeleton	79649	122777	HGNC:25742	NM_001173516	Q8IWC1
MAP9	17	microtubule cytoskeleton	15	microtubule cytoskeleton	79884	122969	HGNC:26118	NM_001039580	Q49MG5
MAPKAP1	11	plasma membrane	20	cell junction, plasma membrane	79109	122551	HGNC:18752	NM_001006617	Q9BPZ7
MAPRE1	17	microtubule cytoskeleton	15	microtubule cytoskeleton	22919	116581	HGNC:6890	NM_012325	Q15691
MAPRE2	17	microtubule cytoskeleton	15	microtubule cytoskeleton	10982	116178	HGNC:6891	NM_014268	Q15555
MAPRE3	17	microtubule cytoskeleton	15	microtubule cytoskeleton	22924	116584	HGNC:6892	NM_012326	Q9UPY8
MAPT	17	microtubule cytoskeleton	15	microtubule cytoskeleton	4137	110308	HGNC:6893	NM_016835	P10636
MARC1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	64757	122271	HGNC:26189	NM_022746	Q5VT66
MARC2	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	54996	120329	HGNC:26064	NM_017898	Q969Z3
MARCH5	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	54708	120105	HGNC:26025	NM_017824	Q9NX47
MARCH6	3	ER membrane	19	nuclear outer membrane-ER membrane network	10299	115587	HGNC:30550	NM_005885	O60337
MARCKS	11	plasma membrane	20	cell junction, plasma membrane	4082	110257	HGNC:6759	NM_002356	P29966
MARCKSL1	11	plasma membrane	20	cell junction, plasma membrane	65108	122395	HGNC:7142	NM_023009	P49006
MARF1	17	microtubule cytoskeleton	-	-	9665	115020	HGNC:29562	NM_014647	Q9Y4F3
MARK1	1	cell junction	20	cell junction, plasma membrane	4139	110309	HGNC:6896	NM_001286124	Q9P0L2
MARK2	1	cell junction	20	cell junction, plasma membrane	2011	108326	HGNC:3332	NM_017490	Q7KZI7
MARK3	1	cell junction	20	cell junction, plasma membrane	4140	110310	HGNC:6897	NM_001128918	P27448
MARVELD2	11	plasma membrane	20	cell junction, plasma membrane	153562	127502	HGNC:26401	NM_144724	Q8N4S9
MAST4	17	microtubule cytoskeleton	-	-	375449	131980	HGNC:19037	NM_001164664	O15021
MASTL	2	chromatin	22	chromatin, nucleoplasm	84930	124364	HGNC:19042	NM_032844	Q96GX5
MATR3	10	nuclear body	8	paraspeckles	9782	115126	HGNC:6912	NM_018834	P43243
MAVS	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	57506	121570	HGNC:29233	NM_020746	Q7Z434
MAZ	2	chromatin	22	chromatin, nucleoplasm	4150	110320	HGNC:6914	NM_002383	P56270
MB21D2	14	Golgi apparatus	-	-	151963	127413	HGNC:30438	NM_178496	Q8IYB1
MBD1	2	chromatin	22	chromatin, nucleoplasm	4152	110322	HGNC:6916	NM_015846	Q9UIS9
MBD2	2	chromatin	22	chromatin, nucleoplasm	8932	114445	HGNC:6917	NM_003927	Q9UBB5
MBD3	2	chromatin	22	chromatin, nucleoplasm	53615	119788	HGNC:6918	NM_003926	O95983
MBD4	2	chromatin	22	chromatin, nucleoplasm	8930	114444	HGNC:6919	NM_003925	O95243
MBIP	2	chromatin	22	chromatin, nucleoplasm	51562	119612	HGNC:20427	NM_016586	Q9NS73
MBNL1	10	nuclear body	8	paraspeckles	4154	110324	HGNC:6923	NM_021038	Q9NR56
MBOAT2	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	129642	126201	HGNC:25193	NM_138799	Q6ZWT7
MBOAT7	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	79143	122562	HGNC:15505	NM_024298	Q96N66
MBTPS1	6	ER lumen	4	ER lumen	8720	114259	HGNC:15456	NM_003791	Q14703
MCAM	11	plasma membrane	20	cell junction, plasma membrane	4162	110332	HGNC:6934	NM_006500	P43121
MCC	12	centrosome	1	no prediction	4163	110333	HGNC:6935	NM_001085377	P23508
MCCC2	18	mitochondrial inner membrane, mitochondrial intermembrane space	1	no prediction	64087	122050	HGNC:6937	NM_022132	Q9HCC0
MCM10	11	plasma membrane	-	-	55388	120654	HGNC:18043	NM_182751	Q7L590
MCM3AP	19	miscellaneous	24	nuclear pore	8888	114406	HGNC:6946	NM_003906	O60318
MCM4	2	chromatin	22	chromatin, nucleoplasm	4173	110341	HGNC:6947	NM_005914	P33991
MCM7	9	nucleoplasm	-	-	4176	110344	HGNC:6950	NM_001278595	P33993
MDC1	2	chromatin	22	chromatin, nucleoplasm	9656	115014	HGNC:21163	NM_014641	Q14676
MDH2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	4191	110356	HGNC:6971	NM_005918	P40926
MDN1	13	mitochondrial outer membrane, peroxisome	1	no prediction	23195	116804	HGNC:18302	NM_014611	Q9NU22
ME2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	4200	110364	HGNC:6984	NM_002396	P23368
MECOM	9	nucleoplasm	22	chromatin, nucleoplasm	2122	108423	HGNC:3498	NM_005241	Q03112
MECP2	2	chromatin	22	chromatin, nucleoplasm	4204	110368	HGNC:6990	NM_004992	P51608
MED1	10	nuclear body	22	chromatin, nucleoplasm	5469	111465	HGNC:9234	NM_004774	Q15648
MED10	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	84246	123974	HGNC:28760	NM_032286	Q9BTT4
MED26	19	miscellaneous	22	chromatin, nucleoplasm	9441	114831	HGNC:2376	NM_004831	O95402
MED27	10	nuclear body	22	chromatin, nucleoplasm	9442	114832	HGNC:2377	NM_004269	Q6P2C8
MED29	12	centrosome	1	no prediction	55588	120734	HGNC:23074	NM_017592	Q9NX70
MED4	12	centrosome	10	centrosome	29079	118849	HGNC:17903	NM_014166	Q9NPJ6
MEF2D	2	chromatin	22	chromatin, nucleoplasm	4209	110373	HGNC:6997	NM_005920	Q14814
MEPCE	10	nuclear body	8	paraspeckles	56257	121122	HGNC:20247	NM_001194990	Q7L2J0
MESD	6	ER lumen	4	ER lumen	23184	116794	HGNC:13520	NM_015154	Q14696
MET	1	cell junction	20	cell junction, plasma membrane	4233	110391	HGNC:7029	NM_000245	P08581
METTL15	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	196074	128190	HGNC:26606	NM_152636	A6NJ78
METTL3	2	chromatin	22	chromatin, nucleoplasm	56339	121139	HGNC:17563	NM_019852	Q86U44
METTL8	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	79828	122920	HGNC:25856	NM_024770	Q9H825
MFAP1	10	nuclear body	3	splicing speckles, nucleolus	4236	110394	HGNC:7032	NM_005926	P55081
MFAP3L	11	plasma membrane	20	cell junction, plasma membrane	9848	115183	HGNC:29083	NM_021647	O75121
MFF	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	56947	121271	HGNC:24858	NM_020194	Q9GZY8
MFN1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	55669	120801	HGNC:18262	NM_017927	Q8IWA4
MFN2	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	9927	115255	HGNC:16877	NM_014874	O95140
MFSD10	3	ER membrane	19	nuclear outer membrane-ER membrane network	10227	115521	HGNC:16894	NM_001120	Q14728
MFSD12	7	endosome, lysosome	18	endosome, lysosome	126321	125979	HGNC:28299	NM_174983	Q6NUT3
MFSD8	7	endosome, lysosome	18	endosome, lysosome	256471	129168	HGNC:28486	NM_152778	Q8NHS3
MGA	9	nucleoplasm	22	chromatin, nucleoplasm	23269	116870	HGNC:14010	NM_001164273.1	Q8IWI9
MGEA5	4	mitochondrial matrix	1	no prediction					
MGME1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	92667	124964	HGNC:16205	NM_052865	Q9BQP7
MIA2	6	ER lumen	19	nuclear outer membrane-ER membrane network	4253	110409	HGNC:18432	NM_054024	Q96PC5
MIA3	6	ER lumen	4	ER lumen	375056	131952	HGNC:24008	NM_198551	Q5JRA6
MIB1	12	centrosome	10	centrosome	57534	121593	HGNC:21086	NM_020774	Q86YT6
MIB2	12	centrosome	14	centrosome enriched, P-body enriched	142678	126769	HGNC:30577	NM_080875	Q96AX9
MICAL3	1	cell junction	-	-	57553	121609	HGNC:24694	NM_001122731	Q7RTP6
MICALL1	20	early endosome, recycling endosome	18	endosome, lysosome	85377	124504	HGNC:29804	NM_033386	Q8N3F8
MICU1	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	10367	115646	HGNC:1530	NM_006077	Q9BPX6
MICU2	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	221154	128692	HGNC:31830	NM_152726	Q8IYU8
MICU3	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	286097	130297	HGNC:27820	NM_181723	Q86XE3
MIEF1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	54471	119977	HGNC:25979	NM_019008	L0R8F8
MIEF2	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	125170	125921	HGNC:17920	NM_139162	Q96C03
MIGA1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	374986	131945	HGNC:24741	NM_198549	Q8NAN2
MIGA2	13	mitochondrial outer membrane, peroxisome	1	no prediction	84895	124335	HGNC:23621	NM_032809	Q7L4E1
MIIP	12	centrosome	10	centrosome	60672	121947	HGNC:25715	NM_021933	Q5JXC2
MINK1	1	cell junction	20	cell junction, plasma membrane	50488	119075	HGNC:17565	NM_015716	Q8N4C8
MINPP1	6	ER lumen	4	ER lumen	9562	114932	HGNC:7102	NM_001178117	Q9UNW1
MIOS	7	endosome, lysosome	18	endosome, lysosome	54468	119974	HGNC:21905	NM_019005	Q9NXC5
MIS18BP1	12	centrosome	1	no prediction	55320	120601	HGNC:20190	NM_018353	Q6P0N0
MKI67	8	nucleolus	22	chromatin, nucleoplasm	4288	110434	HGNC:7107	NM_002417	P46013
MKL1	5	actin cytoskeleton, cytosol	1	no prediction					
MKL2	5	actin cytoskeleton, cytosol	-	-					
MKRN2	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	23609	117142	HGNC:7113	NM_014160	Q9H000
MLEC	6	ER lumen	4	ER lumen	9761	115108	HGNC:28973	NM_014730	Q14165
MLH1	2	chromatin	22	chromatin, nucleoplasm	4292	110438	HGNC:7127	NM_000249	P40692
MLLT1	9	nucleoplasm	22	chromatin, nucleoplasm	4298	110444	HGNC:7134	NM_005934	Q03111
MLLT11	19	miscellaneous	11	chaperonin-containing T-complex, prefoldin complex	10962	116161	HGNC:16997	NM_006818	Q13015
MLLT3	9	nucleoplasm	1	no prediction	4300	110446	HGNC:7136	NM_004529	P42568
MLLT6	9	nucleoplasm	22	chromatin, nucleoplasm	4302	110448	HGNC:7138	NM_005937	P55198
MLX	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	6945	112805	HGNC:11645	NM_170607	Q9UH92
MLXIP	5	actin cytoskeleton, cytosol	1	no prediction	22877	116544	HGNC:17055	NM_014938	Q9HAP2
MMAB	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	326625	130605	HGNC:19331	NM_052845	Q96EY8
MMGT1	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	93380	125021	HGNC:28100	NM_173470	Q8N4V1
MMS19	13	mitochondrial outer membrane, peroxisome	-	-	64210	122103	HGNC:13824	NM_001289403	Q96T76
MMS22L	10	nuclear body	22	chromatin, nucleoplasm	253714	128982	HGNC:21475	NM_198468	Q6ZRQ5
MNAT1	2	chromatin	22	chromatin, nucleoplasm	4331	110474	HGNC:7181	NM_002431	P51948
MNX1	9	nucleoplasm	3	splicing speckles, nucleolus	3110	109355	HGNC:4979	NM_001165255	P50219
MOB1B	12	centrosome	20	cell junction, plasma membrane	92597	124960	HGNC:29801	NM_173468	Q7L9L4
MOGS	6	ER lumen	4	ER lumen	7841	113599	HGNC:24862	NM_006302	Q13724
MON2	14	Golgi apparatus	9	Golgi apparatus	23041	116680	HGNC:29177	NM_015026	Q7Z3U7
MORC2	9	nucleoplasm	22	chromatin, nucleoplasm	22880	116547	HGNC:23573	NM_014941	Q9Y6X9
MORC3	2	chromatin	22	chromatin, nucleoplasm	23515	117062	HGNC:23572	NM_015358	Q14149
MOSPD2	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	158747	127702	HGNC:28381	NM_152581	Q8NHP6
MOXD1	6	ER lumen	4	ER lumen	26002	117478	HGNC:21063	NM_015529	Q6UVY6
MPC2	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	25874	117389	HGNC:24515	NM_015415	O95563
MPDZ	12	centrosome	20	cell junction, plasma membrane	8777	114307	HGNC:7208	NM_003829	O75970
MPHOSPH10	8	nucleolus	3	splicing speckles, nucleolus	10199	115494	HGNC:7213	NM_005791	O00566
MPHOSPH6	2	chromatin	22	chromatin, nucleoplasm	10200	115495	HGNC:7214	NM_005792	Q99547
MPHOSPH8	2	chromatin	22	chromatin, nucleoplasm	54737	120119	HGNC:29810	NM_017520	Q99549
MPHOSPH9	12	centrosome	10	centrosome	10198	115493	HGNC:7215	NM_022782	Q99550
MPND	9	nucleoplasm	22	chromatin, nucleoplasm	84954	124386	HGNC:25934	NM_032868	Q8N594
MPP1	11	plasma membrane	20	cell junction, plasma membrane	4354	110494	HGNC:7219	NM_002436	Q00013
MPP5	1	cell junction	20	cell junction, plasma membrane	64398	122155	HGNC:18669	NM_022474	Q8N3R9
MPP6	11	plasma membrane	20	cell junction, plasma membrane	51678	119675	HGNC:18167	NM_001303037	Q9NZW5
MPP7	1	cell junction	20	cell junction, plasma membrane	143098	126785	HGNC:26542	NM_173496	Q5T2T1
MPRIP	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	23164	116776	HGNC:30321	NM_015134	Q6WCQ1
MPZL1	11	plasma membrane	20	cell junction, plasma membrane	9019	114486	HGNC:7226	NM_024569	O95297
MRC2	20	early endosome, recycling endosome	18	endosome, lysosome	9902	115231	HGNC:16875	NM_006039	Q9UBG0
MRGBP	2	chromatin	22	chromatin, nucleoplasm	55257	120548	HGNC:15866	NM_018270	Q9NV56
MRM3	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	55178	120477	HGNC:18485	NM_018146	Q9HC36
MRPL10	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	124995	125910	HGNC:14055	NM_145255	Q7Z7H8
MRPL12	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	6182	112097	HGNC:10378	NM_002949	P52815
MRPL16	4	mitochondrial matrix	-	-	54948	120287	HGNC:14476	NM_017840	Q9NX20
MRPL19	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	9801	115142	HGNC:14052	NM_014763	P49406
MRPL20	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	55052	120374	HGNC:14478	NM_017971	Q9BYC9
MRPL21	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	219927	128594	HGNC:14479	NM_181512	Q7Z2W9
MRPL22	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	29093	118862	HGNC:14480	NM_001014990	Q9NWU5
MRPL24	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	79590	122732	HGNC:14037	NM_145729	Q96A35
MRPL37	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51253	119410	HGNC:14034	NM_016491	Q9BZE1
MRPL40	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64976	122364	HGNC:14491	NM_003776	Q9NQ50
MRPL41	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64975	122363	HGNC:14492	NM_032477	Q8IXM3
MRPL42	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	28977	118800	HGNC:14493	NM_014050	Q9Y6G3
MRPL43	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	84545	124130	HGNC:14517	NM_001308396	Q8N983
MRPL44	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	65080	122389	HGNC:16650	NM_022915	Q9H9J2
MRPL45	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	84311	124037	HGNC:16651	NM_032351	Q9BRJ2
MRPL46	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	26589	117757	HGNC:1192	NM_022163	Q9H2W6
MRPL48	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51642	119652	HGNC:16653	NM_016055	Q96GC5
MRPL50	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	54534	120021	HGNC:16654	NM_019051	Q8N5N7
MRPL55	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	128308	126105	HGNC:16686	NM_181454	Q7Z7F7
MRPL58	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	3396	109622	HGNC:5359	NM_001545	Q14197
MRPS11	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64963	122359	HGNC:14050	NM_022839	P82912
MRPS14	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	63931	121999	HGNC:14049	NM_022100	O60783
MRPS15	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64960	122358	HGNC:14504	NM_031280	P82914
MRPS16	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51021	119227	HGNC:14048	NM_016065	Q9Y3D3
MRPS17	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51373	119506	HGNC:14047	NM_015969	Q9Y2R5
MRPS18B	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	28973	118797	HGNC:14516	NM_014046	Q9Y676
MRPS2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51116	119304	HGNC:14495	NM_016034	Q9Y399
MRPS22	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	56945	121269	HGNC:14508	NM_020191	P82650
MRPS23	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51649	119657	HGNC:14509	NM_016070	Q9Y3D9
MRPS24	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64951	122357	HGNC:14510	NM_032014	Q96EL2
MRPS25	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64432	122180	HGNC:14511	NM_022497	P82663
MRPS26	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	64949	122356	HGNC:14045	NM_030811	Q9BYN8
MRPS27	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	23107	116731	HGNC:14512	NM_015084	Q92552
